0, 0
20, 0
40, 0
60, 0
80, 0
100, 0
120, 0
140, 0
160, 0
180, 0
200, 0
220, 0
240, 0
260, 0
280, 0
300, 0
320, 0
340, 0
360, 0
380, 0
400, 0
420, 1
440, 0
460, 0
480, 0
500, 0
520, 0
540, 0
560, 11
580, 0
600, 0
620, 1
640, 0
660, 0
680, 19
700, 0
720, 0
740, 2
760, 9
780, 0
800, 0
820, 2
840, 2
860, 0
880, 1
900, 0
920, 1
940, 8
960, 4
980, 2
1000, 2
1020, 0
1040, 8
1060, 0
1080, 2
1100, 5
1120, 0
1140, 1
1160, 6
1180, 1
1200, 0
1220, 0
1240, 1
1260, 0
1280, 1
1300, 0
1320, 6
1340, 3
1360, 0
1380, 1
1400, 1
1420, 2
1440, 5
1460, 9
1480, 2
1500, 1
1520, 2
1540, 0
1560, 0
1580, 0
1600, 1
1620, 5
1640, 1
1660, 0
1680, 1
1700, 0
1720, 0
1740, 5
1760, 9
1780, 0
1800, 1
1820, 4
1840, 0
1860, 5
1880, 0
1900, 1
1920, 1
1940, 0
1960, 1
1980, 0
2000, 1
2020, 0
2040, 0
2060, 0
2080, 0
2100, 0
2120, 1
2140, 0
2160, 0
2180, 0
2200, 0
2220, 0
2240, 0
2260, 0
2280, 0
2300, 1
2320, 0
2340, 0
2360, 1
2380, 1
2400, 0
